상호명,상권업종소분류명,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번주소,도로명주소,층정보,경도,위도,nearest_station,transit_type,walk_time_minutes,walk_distance_m,straight_distance_m
커피빈국기원사거리점,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 827-65,서울특별시 강남구 테헤란로8길 42,,127.032161,37.49614721,강남역우리은행,버스정류장,7.0,468.7169852584245,334.79784661316035
커피빈삼성봉은사로점,카페,강남구,11680580,삼성1동,1168010500,삼성동,서울특별시 강남구 삼성동 77-11,서울특별시 강남구 영동대로 607,,127.0594854,37.51454415,봉은사.삼성1파출소앞,지하철역,1.6,108.72615463758396,77.66153902684569
커피빈차병원점,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 650-9,서울특별시 강남구 논현로 566,,127.0347218,37.50703965,언주역5번출구.차병원사거리,버스정류장,1.0,63.6865994714856,45.49042819391829
커피빈테헤란로하이닉스뒷점,카페,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 890-60,서울특별시 강남구 테헤란로70길 12,,127.0531555,37.50474424,선릉역,버스정류장,4.0,271.33598219859783,193.8114158561413
커피에반하다역삼디오빌점,카페,강남구,11680650,역삼2동,1168010100,역삼동,서울특별시 강남구 역삼동 720-25,서울특별시 강남구 언주로 427,1,127.0426809,37.50145982,역삼역.GS타워,버스정류장,10.8,725.1967856506975,517.9977040362126
컴포즈커피,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 828-21,서울특별시 강남구 테헤란로10길 25,,127.0330211,37.49757958,강남역.역삼세무서,버스정류장,7.0,466.94714091046166,333.5336720789012
컴포즈커피개포,카페,강남구,11680675,개포3동,1168010300,개포동,서울특별시 강남구 개포동 12-4,서울특별시 강남구 개포로 615,,127.075593,37.49265853,대청역,버스정류장,5.8,386.6033881490296,276.1452772493069
케이엔커피,카페,강남구,11680590,삼성2동,1168010500,삼성동,서울특별시 강남구 삼성동 140-42,서울특별시 강남구 선릉로96길 5-6,1,127.0490286,37.50654803,선릉역.선정릉정문,버스정류장,1.5,101.89567309828293,72.78262364163066
클로리스삼성,카페,강남구,11680580,삼성1동,1168010500,삼성동,서울특별시 강남구 삼성동 145,서울특별시 강남구 봉은사로 502,1,127.0538512,37.51288901,삼성중앙,지하철역,2.2,148.21579548910262,105.86842534935903
키쉬미뇽,카페,강남구,11680750,수서동,1168011500,수서동,서울특별시 강남구 수서동 728,서울특별시 강남구 광평로 270,,127.101854,37.48738593,수서,지하철역,0.6,39.561297523486814,28.25806965963344
테더,카페,강남구,11680521,논현1동,1168010800,논현동,서울특별시 강남구 논현동 32-18,서울특별시 강남구 논현로145길 19,1,127.0272609,37.51746622,학동역,버스정류장,7.0,469.2311899329882,335.16513566642016
테라포커스,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 637-20,서울특별시 강남구 강남대로94길 67,,127.0325475,37.50082333,역삼역,버스정류장,4.5,303.27092148263245,216.62208677330892
투썸플레이스강남도산점,카페,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 594-14,서울특별시 강남구 도산대로37길 19,1,127.0312107,37.52228561,압구정역4번출구,버스정류장,9.8,656.355041514316,468.8250296530829
